DATE,FEDFUNDS,CPIAUCSL,UNRATE
2018-01-01,1.41,248.859,4.0
2018-02-01,1.42,249.529,4.1
2018-03-01,1.51,249.577,4.0
2018-04-01,1.69,250.227,4.0
2018-05-01,1.7,250.792,3.8
2018-06-01,1.82,251.018,4.0
2018-07-01,1.91,251.214,3.8
2018-08-01,1.91,251.663,3.8
2018-09-01,1.95,252.182,3.7
2018-10-01,2.19,252.772,3.8
2018-11-01,2.2,252.594,3.8
2018-12-01,2.27,252.767,3.9
2019-01-01,2.4,252.561,4.0
2019-02-01,2.4,253.319,3.8
2019-03-01,2.41,254.277,3.8
2019-04-01,2.42,255.233,3.7
2019-05-01,2.39,255.296,3.6
2019-06-01,2.38,255.213,3.6
2019-07-01,2.4,255.802,3.7
2019-08-01,2.13,256.036,3.6
2019-09-01,2.04,256.43,3.5
2019-10-01,1.83,257.155,3.6
2019-11-01,1.55,257.879,3.6
2019-12-01,1.55,258.63,3.6
2020-01-01,1.55,259.127,3.6
2020-02-01,1.58,259.25,3.5
2020-03-01,0.65,258.076,4.4
2020-04-01,0.05,256.032,14.8
2020-05-01,0.05,255.802,13.2
2020-06-01,0.08,257.042,11.0
2020-07-01,0.09,258.352,10.2
2020-08-01,0.1,259.316,8.4
2020-09-01,0.09,259.997,7.8
2020-10-01,0.09,260.319,6.9
2020-11-01,0.09,260.911,6.7
2020-12-01,0.09,262.045,6.7
2021-01-01,0.09,262.687,6.4
2021-02-01,0.08,263.579,6.2
2021-03-01,0.07,264.961,6.1
2021-04-01,0.07,266.614,6.1
2021-05-01,0.06,268.383,5.8
2021-06-01,0.08,270.654,5.9
2021-07-01,0.1,271.903,5.4
2021-08-01,0.09,272.676,5.1
2021-09-01,0.08,273.91,4.7
2021-10-01,0.08,276.55,4.5
2021-11-01,0.08,278.919,4.1
2021-12-01,0.08,280.845,3.9
2022-01-01,0.08,282.543,4.0
2022-02-01,0.08,284.5,3.9
2022-03-01,0.2,287.674,3.7
2022-04-01,0.33,288.561,3.7
2022-05-01,0.77,291.298,3.6
2022-06-01,1.21,294.957,3.6
2022-07-01,1.68,294.913,3.5
2022-08-01,2.33,295.097,3.6
2022-09-01,2.56,296.349,3.5
2022-10-01,3.08,298.007,3.6
2022-11-01,3.78,298.786,3.6
2022-12-01,4.1,298.832,3.5
2023-01-01,4.33,300.42,3.5
2023-02-01,4.57,301.45,3.6
2023-03-01,4.65,301.821,3.5
2023-04-01,4.83,302.845,3.4
2023-05-01,5.06,303.334,3.6
2023-06-01,5.08,304.014,3.6
2023-07-01,5.12,304.609,3.5
2023-08-01,5.33,306.082,3.7
2023-09-01,5.33,307.276,3.7
2023-10-01,5.33,307.696,3.9
2023-11-01,5.33,308.148,3.7
2023-12-01,5.33,308.741,3.8
